                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 1.2547,                0.74464,                 0.9306,                0.88345,                0.84006,                0.89745,                0.66066,                 1.0681,                 0.5932,                0.88754,               0.006568,               0.006568,               0.006568
                    107,                 1.2558,                0.74485,                0.93023,                0.87902,                0.84279,                0.89793,                0.66505,                  1.065,                0.59064,                0.88644,               0.006535,               0.006535,               0.006535
                    108,                 1.2433,                0.73804,                0.92575,                0.87189,                0.84742,                0.89777,                0.66395,                 1.0651,                0.58957,                0.88563,               0.006502,               0.006502,               0.006502
                    109,                  1.249,                0.73739,                0.92613,                0.87164,                0.84105,                 0.8968,                0.66605,                 1.0618,                0.58827,                0.88538,               0.006469,               0.006469,               0.006469
                    110,                 1.2413,                0.73802,                 0.9251,                 0.8802,                0.84611,                0.89998,                0.66762,                 1.0572,                0.58541,                0.88447,               0.006436,               0.006436,               0.006436
                    111,                 1.2599,                0.74114,                0.92554,                0.88227,                0.84444,                0.90085,                0.67034,                 1.0553,                0.58619,                0.88404,               0.006403,               0.006403,               0.006403
                    112,                   1.25,                0.74148,                0.92384,                0.88892,                0.84164,                0.90277,                0.67285,                 1.0545,                0.58488,                0.88387,                0.00637,                0.00637,                0.00637
                    113,                 1.2544,                0.74043,                0.92746,                0.87773,                0.84733,                0.90103,                0.66881,                 1.0542,                 0.5842,                0.88358,               0.006337,               0.006337,               0.006337
                    114,                 1.2562,                0.74335,                0.92515,                0.88183,                0.84273,                0.90349,                0.67228,                 1.0536,                0.58303,                0.88361,               0.006304,               0.006304,               0.006304
                    115,                 1.2454,                0.73565,                0.92345,                0.88381,                0.85156,                0.90424,                0.67186,                 1.0537,                0.58306,                0.88406,               0.006271,               0.006271,               0.006271
                    116,                 1.2607,                0.74134,                0.92431,                 0.8779,                0.85396,                 0.9054,                0.67315,                 1.0527,                0.58265,                0.88401,               0.006238,               0.006238,               0.006238
                    117,                 1.2341,                0.72551,                0.92571,                0.88069,                0.85753,                  0.907,                0.67654,                 1.0529,                0.58115,                0.88358,               0.006205,               0.006205,               0.006205
                    118,                 1.2426,                0.73199,                0.92543,                0.90183,                0.84548,                0.90835,                0.67815,                 1.0504,                 0.5786,                0.88246,               0.006172,               0.006172,               0.006172
                    119,                 1.2426,                 0.7305,                0.92566,                0.89059,                0.84975,                0.90742,                0.67876,                 1.0527,                0.57805,                 0.8824,               0.006139,               0.006139,               0.006139
                    120,                 1.2435,                0.73299,                0.92308,                0.89462,                0.85023,                0.90701,                0.68017,                  1.051,                0.57672,                0.88156,               0.006106,               0.006106,               0.006106
                    121,                 1.2464,                 0.7358,                 0.9243,                0.89226,                0.85215,                0.90726,                0.67871,                 1.0464,                0.57599,                0.88059,               0.006073,               0.006073,               0.006073
                    122,                 1.2283,                0.72169,                0.92222,                0.88761,                0.84909,                0.90803,                 0.6818,                 1.0468,                0.57629,                0.88041,                0.00604,                0.00604,                0.00604
                    123,                 1.2511,                0.73356,                0.92546,                0.89369,                  0.842,                 0.9077,                0.68138,                 1.0473,                0.57695,                0.88071,               0.006007,               0.006007,               0.006007
                    124,                 1.2267,                0.72826,                0.92277,                 0.8849,                0.84956,                0.90856,                0.68293,                 1.0447,                0.57605,                0.88056,               0.005974,               0.005974,               0.005974
                    125,                 1.2527,                0.73033,                0.92187,                0.88264,                0.85458,                0.90839,                0.68211,                 1.0432,                0.57507,                0.87983,               0.005941,               0.005941,               0.005941
                    126,                 1.2344,                 0.7232,                0.92115,                0.88294,                0.85658,                0.90925,                0.68504,                  1.042,                0.57343,                0.87916,               0.005908,               0.005908,               0.005908
                    127,                 1.2207,                0.71495,                 0.9206,                0.88262,                0.85681,                0.90962,                0.68513,                 1.0414,                0.57332,                0.87888,               0.005875,               0.005875,               0.005875
                    128,                 1.2287,                0.71759,                  0.919,                0.88493,                0.85547,                0.91098,                0.68687,                  1.041,                0.57232,                0.87915,               0.005842,               0.005842,               0.005842
                    129,                 1.2345,                0.72129,                0.92084,                0.88868,                0.85564,                 0.9119,                0.68725,                 1.0384,                0.57046,                0.87882,               0.005809,               0.005809,               0.005809
                    130,                 1.2274,                0.71418,                0.91992,                0.88839,                0.85586,                0.91212,                0.68746,                 1.0387,                0.56992,                0.87874,               0.005776,               0.005776,               0.005776
                    131,                  1.235,                0.71849,                 0.9195,                0.90018,                 0.8499,                0.91243,                0.68722,                 1.0376,                0.56867,                0.87847,               0.005743,               0.005743,               0.005743
                    132,                 1.2294,                0.72178,                0.92077,                 0.8958,                0.86063,                0.91317,                0.68813,                 1.0366,                0.56807,                0.87844,                0.00571,                0.00571,                0.00571
                    133,                 1.2325,                0.71933,                0.92306,                 0.8909,                0.86402,                 0.9135,                0.68695,                 1.0365,                 0.5674,                0.87854,               0.005677,               0.005677,               0.005677
                    134,                  1.218,                0.70798,                0.91594,                0.88999,                0.86354,                0.91432,                0.68845,                 1.0354,                0.56574,                0.87778,               0.005644,               0.005644,               0.005644
                    135,                 1.2262,                 0.7144,                0.91881,                0.89376,                0.86595,                0.91655,                0.69079,                  1.035,                0.56516,                0.87767,               0.005611,               0.005611,               0.005611
                    136,                 1.2146,                0.70939,                0.92002,                0.89868,                0.86439,                0.91742,                0.69258,                 1.0332,                0.56381,                0.87727,               0.005578,               0.005578,               0.005578
